"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"101298_1",,"旧五和中学校前",,"32.5224","130.14342","101298_1",,"0",,,,
"101299_1",,"五和小中学校前",,"32.533596","130.18858","101299_1",,"0",,,,
"101299_2",,"五和小中学校前",,"32.533543","130.18861","101299_2",,"0",,,,
"101300_1",,"五和支所前",,"32.511635","130.1891","101300_1",,"0",,,,
"101300_2",,"五和支所前",,"32.513065","130.1899","101300_2",,"0",,,,
"101301_1",,"井手口",,"32.81595","131.06036","101301_1",,"0",,,,
"101303_1",,"井手の口",,"32.19765","130.8157","101303_1",,"0",,,,
"101303_2",,"井手の口",,"32.19765","130.81557","101303_2",,"0",,,,
"101304_1",,"糸石",,"32.641525","130.75597","101304_1",,"0",,,,
"101304_2",,"糸石",,"32.641685","130.75572","101304_2",,"0",,,,
"101305_1",,"稲佐（国道）",,"32.919212","130.61221","101305_1",,"0",,,,
"101305_2",,"稲佐（国道）",,"32.919243","130.61035","101305_2",,"0",,,,
"101306_1",,"犬飼",,"32.584328","130.40686","101306_1",,"0",,,,
"101307_1",,"伊萩",,"32.948116","130.85367","101307_1",,"0",,,,
"101309_1",,"今泉三差路",,"32.49322","130.41656","101309_1",,"0",,,,
"101309_2",,"今泉三差路",,"32.492504","130.41731","101309_2",,"0",,,,
"101310_1",,"今釜",,"32.463886","130.19037","101310_1",,"0",,,,
"101310_2",,"今釜",,"32.4643","130.18987","101310_2",,"0",,,,
"101311_1",,"今新開",,"32.768955","130.6362","101311_1",,"0",,,,
"101311_2",,"今新開",,"32.769238","130.63634","101311_2",,"0",,,,
"101313_1",,"今津学校前",,"32.49811","130.42377","101313_1",,"0",,,,
"101313_2",,"今津学校前",,"32.498074","130.42393","101313_2",,"0",,,,
"101314_1",,"今町",,"32.971542","131.07019","101314_1",,"0",,,,
"101315_1",,"今村（天草）",,"32.426174","130.20718","101315_1",,"0",,,,
"101316_1",,"今村入口",,"32.828835","130.79178","101316_1",,"0",,,,
"101316_2",,"今村入口",,"32.829147","130.79173","101316_2",,"0",,,,
"101317_1",,"入地町",,"32.67826","130.66174","101317_1",,"0",,,,
"101317_2",,"入地町",,"32.678368","130.66173","101317_2",,"0",,,,
"101318_1",,"井立橋",,"32.41677","130.0773","101318_1",,"0",,,,
"101319_1",,"祝口",,"32.451984","130.37361","101319_1",,"0",,,,
"101320_1",,"岩崎橋",,"32.930527","130.56084","101320_1",,"0",,,,
