"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"7275_727507_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7276_727601_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7276_727602_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7276_727603_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7276_727604_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7276_727605_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7276_727606_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7276_727607_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7276_727601_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7276_727602_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7276_727603_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7276_727604_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7276_727605_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7276_727606_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7276_727607_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7277_727701_20241225","1","1","1","1","1","0","0","20241225","20250107"
"7277_727706_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7277_727707_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7277_727701_20250108","1","1","1","1","1","0","0","20250108","20250411"
"7277_727706_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7277_727707_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7278_727801_20241225","1","0","0","0","0","0","0","20241225","20250107"
"7278_727802_20241225","0","1","0","0","0","0","0","20241225","20250107"
"7278_727803_20241225","0","0","1","0","0","0","0","20241225","20250107"
"7278_727804_20241225","0","0","0","1","0","0","0","20241225","20250107"
"7278_727805_20241225","0","0","0","0","1","0","0","20241225","20250107"
"7278_727806_20241225","0","0","0","0","0","1","0","20241225","20250107"
"7278_727807_20241225","0","0","0","0","0","0","1","20241225","20250107"
"7278_727801_20250108","1","0","0","0","0","0","0","20250108","20250411"
"7278_727802_20250108","0","1","0","0","0","0","0","20250108","20250411"
"7278_727803_20250108","0","0","1","0","0","0","0","20250108","20250411"
"7278_727804_20250108","0","0","0","1","0","0","0","20250108","20250411"
"7278_727805_20250108","0","0","0","0","1","0","0","20250108","20250411"
"7278_727806_20250108","0","0","0","0","0","1","0","20250108","20250411"
"7278_727807_20250108","0","0","0","0","0","0","1","20250108","20250411"
"7280_728001_20241225","1","0","0","0","0","0","0","20241225","20250107"
